ID,Recency,Recency_Level,Frequency,Frequency_Level,Monetary_Value,Monetary_Value_Level,Observation_Period,Churn
220,35,Low,385,High,26591.7,High,2409,0
221,53,Medium,35,Low,3119.04,Medium,2310,1
222,35,Low,12,Low,490.35,Low,1,1
223,147,High,20,Low,3552.23,Medium,712,0
224,318,High,13,Low,524.25,Low,107,1
225,37,Low,27,Low,4638.44,Medium,2368,0
226,41,Low,31,Low,6402.43,Medium,2352,0
227,436,High,14,Low,1166.8,Medium,216,1
228,35,Low,31,Low,7815.36,Medium,1578,0
229,209,High,18,Low,1090.51,Medium,366,1
230,42,Low,28,Low,4448.02,Medium,666,0
231,39,Low,30,Low,9129.43,Medium,1565,0
232,40,Low,18,Low,1868.35,Medium,202,0
233,168,High,29,Low,2211.67,Medium,1430,1
234,33,Low,78,Medium,11935.49,High,2414,0
235,255,High,27,Low,5065.04,Medium,1304,1
236,74,Medium,34,Low,15346.69,High,1996,0
237,43,Low,85,Medium,14313.21,High,2371,0
238,42,Low,55,Medium,14226.15,High,2345,0
239,186,High,28,Low,4937.7,Medium,652,1
240,64,Medium,36,Low,3412.67,Medium,2228,0
241,41,Low,61,Medium,19984.13,High,1633,0
242,65,Medium,27,Low,5159.29,Medium,2189,0
243,205,High,30,Low,2212.28,Medium,1402,1
244,46,Low,38,Low,8804.38,Medium,2335,0
245,149,High,27,Low,3284.94,Medium,1813,1
246,51,Medium,35,Low,2310.67,Medium,2235,0
247,388,High,23,Low,958.22,Low,504,1
248,48,Low,39,Low,3965.15,Medium,1859,0
249,37,Low,16,Low,2498.34,Medium,631,0
250,157,High,22,Low,2811.43,Medium,7,0
251,419,High,25,Low,1337.63,Medium,488,1
252,76,Medium,17,Low,375.88,Low,344,0
253,62,Medium,45,Low,7376.45,Medium,2241,0
254,118,High,15,Low,1824.98,Medium,576,0
255,33,Low,25,Low,1930.08,Medium,1787,0
256,79,Medium,26,Low,1956.13,Medium,2129,0
257,44,Low,58,Medium,8303.17,Medium,1419,0
258,243,High,36,Low,6364.646,Medium,1334,1
259,32,Low,25,Low,1672.13,Medium,1367,0
260,52,Medium,83,Medium,7672.8325,Medium,2306,0
261,33,Low,77,Medium,15905.45,High,2429,0
262,259,High,13,Low,628.26,Low,4,1
263,32,Low,41,Low,6717.86,Medium,2419,0
264,70,Medium,27,Low,4070.43,Medium,2139,0
265,352,High,20,Low,410.71,Low,1,0
266,32,Low,139,High,41010.55,High,2426,0
267,78,Medium,38,Low,12360.52,High,2167,0
268,68,Medium,23,Low,4924.8,Medium,876,0
269,200,High,36,Low,2677.62,Medium,1562,1
270,100,Medium,21,Low,2301.78,Medium,1869,0
271,99,Medium,46,Low,11369.29,High,825,1
272,86,Medium,35,Low,3010.1,Medium,2026,0
273,58,Medium,22,Low,2998.65,Medium,2069,0
274,34,Low,103,High,45451.74,High,2386,0
275,91,Medium,27,Low,4022.2,Medium,1798,0
276,41,Low,17,Low,875.54,Low,164,0
277,31,Low,45,Low,14621.53,High,1511,0
278,43,Low,23,Low,1416.85,Medium,1692,0
279,31,Low,36,Low,11054.37,High,2392,0
280,186,High,23,Low,531.63,Low,1396,0
281,196,High,14,Low,498.36,Low,1,1
282,472,High,19,Low,481.34,Low,1,1
283,42,Low,95,Medium,82718.78,High,2357,0
284,225,High,29,Low,1744.18,Medium,1295,1
285,38,Low,89,Medium,20131.5,High,2056,0
286,40,Low,47,Low,12290.62,High,2349,0
287,52,Medium,33,Low,3886.06,Medium,2298,0
288,35,Low,46,Low,4359.28,Medium,2414,0
289,59,Medium,32,Low,4167.61,Medium,2252,0
290,212,High,30,Low,2823.67,Medium,1503,0
291,237,High,20,Low,966.85,Low,1323,1
292,32,Low,60,Medium,30962.39,High,2418,0
293,64,Medium,19,Low,1223.74,Medium,275,0
294,36,Low,49,Low,12916.61,High,2384,0
295,61,Medium,29,Low,3658.68,Medium,1853,0
296,39,Low,56,Medium,71981.81,High,2376,0
297,82,Medium,18,Low,1576.25,Medium,451,0
298,35,Low,40,Low,7554.69,Medium,2367,0
299,35,Low,89,Medium,5988.15,Medium,2392,0
300,33,Low,382,High,6100.5816,Medium,2426,0
301,40,Low,25,Low,4271.95,Medium,2334,0
302,219,High,18,Low,1185.87,Medium,1306,1
303,319,High,15,Low,291.48,Low,370,1
304,334,High,25,Low,1208.85,Medium,713,1
305,38,Low,26,Low,2526.91,Medium,1342,0
306,58,Medium,22,Low,4099.54,Medium,2245,0
307,237,High,19,Low,634.65,Low,596,1
308,39,Low,31,Low,2271.82,Medium,772,0
309,39,Low,47,Low,10842.96,High,2304,0
310,43,Low,51,Medium,9202.26,Medium,2320,0
311,37,Low,81,Medium,69448.13,High,2335,0
312,31,Low,19,Low,1141.66,Medium,665,0
313,170,High,17,Low,1014.94,Medium,888,0
314,315,High,48,Low,12036.29,High,1014,0
315,109,High,45,Low,30039.74,High,1366,0
316,51,Medium,14,Low,495.41,Low,1,0
317,48,Low,34,Low,11283.1,High,1769,0
318,37,Low,22,Low,11453.81,High,338,0
319,32,Low,70,Medium,46565.37,High,2409,0
320,107,High,20,Low,2645.92,Medium,1792,0
321,52,Medium,28,Low,2762.44,Medium,1345,0
322,57,Medium,25,Low,2528.12,Medium,2094,0
323,36,Low,47,Low,15827.03,High,2384,0
324,58,Medium,31,Low,5700.07,Medium,2280,0
325,70,Medium,26,Low,1533.92,Medium,730,0
326,40,Low,25,Low,2011.69,Medium,1470,0
327,36,Low,43,Low,15572.73,High,2379,0
328,71,Medium,44,Low,15069.12,High,2216,0
329,440,High,12,Low,440.93,Low,1,1
330,145,High,34,Low,4736.18,Medium,1827,0
331,35,Low,63,Medium,20487.74,High,2363,0
332,35,Low,43,Low,8348.59,Medium,1812,0
333,31,Low,20,Low,613.53,Low,1185,1
334,41,Low,72,Medium,36894.17,High,2357,1
335,267,High,25,Low,1263.81,Medium,1208,1
336,42,Low,31,Low,5575.59,Medium,2100,1
337,41,Low,49,Low,24422.12,High,1336,0
338,47,Low,36,Low,6088.74,Medium,1816,0
339,79,Medium,18,Low,212.7,Low,1,1
340,32,Low,54,Medium,10486,High,2398,0
341,38,Low,30,Low,3616.09,Medium,2337,0
342,67,Medium,37,Low,5756.11,Medium,1121,0
343,154,High,39,Low,6988.94,Medium,1811,1
344,155,High,43,Low,10381.92,High,1729,1
345,98,Medium,39,Low,5398.42,Medium,2037,0
346,51,Medium,23,Low,956.92,Low,616,1
347,105,High,19,Low,4245.61,Medium,816,0
348,384,High,33,Low,15511.96,High,643,1
349,35,Low,112,High,23419.08,High,2408,0
350,323,High,27,Low,1699.66,Medium,698,1
351,33,Low,41,Low,11417.79,High,2372,0
352,319,High,25,Low,1410.2,Medium,953,1
353,384,High,20,Low,414.21,Low,1,1
354,52,Medium,32,Low,2744.85,Medium,2205,0
355,35,Low,30,Low,7887.53,Medium,2339,0
356,310,High,38,Low,5049.98,Medium,587,1
357,36,Low,69,Medium,53625.83,High,2393,0
358,31,Low,51,Medium,11065.29,High,2395,0
359,98,Medium,27,Low,1968.63,Medium,1766,1
360,47,Low,30,Low,7162.3,Medium,1623,0
361,149,High,21,Low,694,Low,190,0
362,47,Low,26,Low,909.22,Low,563,0
363,32,Low,90,Medium,36511.05,High,2419,0
364,42,Low,36,Low,4559.3,Medium,2332,0
365,167,High,29,Low,2843.45,Medium,1553,1
366,142,High,51,Medium,18119.52,High,1837,1
367,295,High,17,Low,1437.25,Medium,269,0
368,195,High,21,Low,5257.56,Medium,1456,0
369,165,High,19,Low,1208.91,Medium,297,1
370,286,High,23,Low,1702.74,Medium,1097,1
371,47,Low,44,Low,16785.6,High,2353,0
372,48,Low,19,Low,366.6,Low,206,1
373,39,Low,29,Low,3632.56,Medium,2363,0
374,356,High,12,Low,455.76,Low,1,1
375,42,Low,54,Medium,19233.07,High,1423,0
376,40,Low,48,Low,7084.8,Medium,1954,0
377,233,High,61,Medium,9780.34,Medium,1379,1
378,56,Medium,29,Low,5314.04,Medium,2235,0
379,33,Low,39,Low,34868.7,High,1828,0
380,297,High,17,Low,149,Low,595,1
381,44,Low,33,Low,7881.07,Medium,968,0
382,104,High,14,Low,996.67,Low,558,0
383,32,Low,22,Low,1322.47,Medium,2278,0
384,94,Medium,31,Low,7049.73,Medium,1998,1
385,31,Low,35,Low,4953.05,Medium,2371,0
386,36,Low,30,Low,3593.69,Medium,2318,0
387,56,Medium,25,Low,4895.83,Medium,980,0
388,37,Low,19,Low,2520.88,Medium,1498,0
389,35,Low,40,Low,10328.32,High,1578,0
390,247,High,27,Low,2673.24,Medium,435,1
391,37,Low,28,Low,2413.98,Medium,566,0
392,88,Medium,44,Low,6718.04,Medium,2118,0
393,145,High,41,Low,71684.42,High,740,1
394,44,Low,27,Low,1662.25,Medium,1366,0
395,98,Medium,41,Low,9335.12,Medium,2025,0
396,37,Low,46,Low,6431.46,Medium,2328,0
397,37,Low,44,Low,3148.99,Medium,2370,0
398,43,Low,26,Low,1589.65,Medium,2181,0
399,48,Low,25,Low,1937.57,Medium,1031,0
400,87,Medium,31,Low,4198.97,Medium,2133,0
401,243,High,13,Low,118,Low,1,1
402,76,Medium,19,Low,4024.83,Medium,471,0
403,162,High,23,Low,623.4,Low,1147,1
404,56,Medium,50,Low,17278.82,High,2289,0
405,35,Low,66,Medium,32450.68,High,2408,0
406,48,Low,16,Low,323.46,Low,483,0
407,31,Low,156,High,33160.621,High,2354,0
408,121,High,42,Low,13108.95,High,1970,0
409,67,Medium,36,Low,2816.91,Medium,2015,0
410,453,High,14,Low,660.28,Low,1,1
411,178,High,33,Low,5987.39,Medium,1617,0
412,44,Low,46,Low,9280.81,Medium,2346,0
413,42,Low,52,Medium,9468.44,Medium,2342,0
414,36,Low,33,Low,24036.7,High,1188,0
415,384,High,29,Low,3175,Medium,649,1
416,48,Low,48,Low,5274.13,Medium,2341,0
417,170,High,12,Low,410.36,Low,1,0
418,201,High,16,Low,569.56,Low,1,1
419,52,Medium,12,Low,789.08,Low,1,1
420,89,Medium,38,Low,5505.79,Medium,2111,0
421,41,Low,124,High,67878.37,High,2372,0
422,461,High,18,Low,1571.62,Medium,270,1
423,404,High,22,Low,2224.74,Medium,518,1
424,36,Low,40,Low,7872.62,Medium,2223,0
425,33,Low,57,Medium,10407.14,High,2407,0
426,51,Medium,26,Low,2316.52,Medium,2041,0
427,48,Low,39,Low,5385.2,Medium,1668,0
428,46,Low,65,Medium,13283.58,High,2342,0
429,39,Low,15,Low,6874.85,Medium,27,0
430,36,Low,61,Medium,23456.56,High,1615,0
431,160,High,40,Low,4870.99,Medium,1767,0
432,45,Low,47,Low,9859.82,Medium,2366,0
433,34,Low,17,Low,905.94,Low,305,0
434,41,Low,43,Low,6461.46,Medium,2190,0
435,233,High,27,Low,9959.83,Medium,1421,1
436,33,Low,33,Low,7437.42,Medium,1553,0
437,32,Low,22,Low,1065.2,Medium,536,0
438,34,Low,54,Medium,13339.98,High,2383,0
439,217,High,26,Low,2854.31,Medium,1499,1
440,140,High,42,Low,28582.01,High,1811,1
441,34,Low,185,High,45600.34,High,2419,0
442,37,Low,25,Low,1208.07,Medium,573,0
443,32,Low,26,Low,7495.17,Medium,1378,0
444,33,Low,33,Low,6257.69,Medium,2368,0
445,54,Medium,25,Low,3757.27,Medium,1146,0
446,35,Low,31,Low,6063.61,Medium,2329,0
447,31,Low,34,Low,6007.32,Medium,1317,0
448,299,High,30,Low,1383.27,Medium,1031,1
449,34,Low,27,Low,7667.99,Medium,2112,1
450,32,Low,324,High,39478.617,High,2420,0
451,33,Low,71,Medium,24199.71,High,2383,0
452,42,Low,44,Low,6519.01,Medium,2342,0
453,91,Medium,25,Low,8951.34,Medium,2067,0
454,200,High,22,Low,5095.31,Medium,1560,0
455,47,Low,53,Medium,11636.57,High,2289,0
456,54,Medium,49,Low,6587.15,Medium,1400,0
457,56,Medium,34,Low,6816.68,Medium,2277,0
458,72,Medium,37,Low,5614.04,Medium,1443,0
459,37,Low,61,Medium,18436.67,High,2400,0
460,291,High,17,Low,1586.97,Medium,1012,1
461,198,High,21,Low,348.96,Low,1,0
462,37,Low,56,Medium,13273.24,High,1567,0
463,144,High,32,Low,4650.09,Medium,1845,1
464,33,Low,62,Medium,19629.72,High,2403,0
465,53,Medium,41,Low,6896.58,Medium,2209,0
466,142,High,68,Medium,23820.49,High,1796,0
467,60,Medium,29,Low,4493.08,Medium,2181,0
468,308,High,22,Low,2192.52,Medium,1024,1
469,32,Low,144,High,32456.7,High,2374,0
470,36,Low,65,Medium,8743.09,Medium,2337,0
471,77,Medium,41,Low,6848.61,Medium,2163,0
472,52,Medium,41,Low,6117.88,Medium,2306,0
473,37,Low,35,Low,5343.17,Medium,1318,0
474,32,Low,29,Low,3848.28,Medium,1888,0
475,93,Medium,53,Medium,19999.13,High,2099,0
476,76,Medium,18,Low,3958.75,Medium,721,0
477,156,High,18,Low,842.82,Low,85,0
478,42,Low,30,Low,3257.27,Medium,1912,0
479,66,Medium,56,Medium,13978.46,High,2245,0
480,69,Medium,29,Low,2531.85,Medium,2135,0
481,77,Medium,32,Low,6177.13,Medium,2167,0
482,40,Low,17,Low,1315.9,Medium,627,0
483,32,Low,62,Medium,12718.19,High,2028,0
484,36,Low,43,Low,12486.44,High,2168,0
485,121,High,30,Low,9548.96,Medium,1899,1
486,47,Low,45,Low,7716.38,Medium,2267,0
487,108,High,19,Low,919.67,Low,170,1
488,495,High,13,Low,680.64,Low,1,1
489,78,Medium,28,Low,3300.68,Medium,2119,0
490,95,Medium,23,Low,2719.57,Medium,2061,0
491,36,Low,18,Low,182,Low,481,1
492,114,High,38,Low,12386.93,High,1894,0
493,70,Medium,32,Low,4310.87,Medium,2209,0
494,34,Low,26,Low,10683.89,High,722,0
495,164,High,20,Low,541.18,Low,1,1
496,36,Low,39,Low,6545.25,Medium,665,0
497,72,Medium,28,Low,1775.4,Medium,2030,1
498,51,Medium,29,Low,2754.38,Medium,2332,0
499,36,Low,53,Medium,22268.24,High,2376,0
500,89,Medium,14,Low,426.61,Low,665,1
501,100,Medium,33,Low,4540.08,Medium,1830,0
502,259,High,21,Low,2590.09,Medium,1251,0
503,37,Low,56,Medium,19747.87,High,2333,0
504,41,Low,52,Medium,20614.41,High,2369,0
505,38,Low,58,Medium,14280.89,High,1191,0
506,97,Medium,39,Low,2911.07,Medium,2060,0
507,32,Low,18,Low,1723.01,Medium,260,0
508,32,Low,50,Low,7169.53,Medium,2331,0
509,171,High,34,Low,9210.75,Medium,1658,0
510,59,Medium,36,Low,2469.53,Medium,2253,0
511,37,Low,71,Medium,22323.02,High,2400,0
512,60,Medium,23,Low,2452.16,Medium,1133,0
513,31,Low,37,Low,3788.29,Medium,2399,0
514,51,Medium,48,Low,9126.33,Medium,2334,0
515,203,High,18,Low,1838.2,Medium,1560,1
516,85,Medium,23,Low,1852.52,Medium,1537,1
517,389,High,19,Low,879.36,Low,625,1
518,33,Low,36,Low,3818.51,Medium,2236,0
519,32,Low,150,High,45226.49,High,2410,0
520,433,High,19,Low,547.76,Low,321,1
521,37,Low,25,Low,2777.07,Medium,1248,0
522,368,High,29,Low,3647.2,Medium,718,1
523,51,Medium,44,Low,3400.76,Medium,2278,0
524,418,High,14,Low,503.64,Low,64,1
525,60,Medium,25,Low,2321.75,Medium,2227,0
526,253,High,21,Low,1253.17,Medium,1281,0
527,148,High,26,Low,3369.23,Medium,1794,0
528,61,Medium,21,Low,1286.77,Medium,116,0
529,49,Low,33,Low,3607.12,Medium,2296,0
530,168,High,17,Low,995.61,Low,1727,1
531,432,High,23,Low,1147.2,Medium,363,1
532,399,High,18,Low,434.1,Low,1,1
533,103,High,22,Low,1463.74,Medium,150,0
534,99,Medium,53,Medium,9014.16,Medium,2068,0
535,37,Low,45,Low,4812.13,Medium,2378,0
536,169,High,19,Low,888.52,Low,985,1
537,33,Low,195,High,11043.324,High,2414,0
538,167,High,41,Low,31678.19,High,1726,1
539,60,Medium,62,Medium,14970.84,High,2247,0
540,33,Low,147,High,6527.4925,Medium,1538,0
541,300,High,19,Low,109,Low,1,0
542,144,High,35,Low,5960.28,Medium,1853,1
543,31,Low,60,Medium,20725.28,High,2392,0
544,36,Low,30,Low,10951.87,High,2328,0
545,32,Low,54,Medium,10593.74,High,2031,0
546,103,High,41,Low,5469.24,Medium,2045,0
547,52,Medium,89,Medium,29731.81,High,2301,0
548,462,High,17,Low,342.18,Low,1,0
549,34,Low,65,Medium,14299.61,High,2421,0
550,273,High,21,Low,2318.12,Medium,1098,1
551,43,Low,74,Medium,41970.85,High,2319,0
552,32,Low,53,Medium,11285.48,High,2417,0
553,144,High,23,Low,1369.96,Medium,374,0
554,513,High,17,Low,980.01,Low,1,1
555,45,Low,24,Low,5057.65,Medium,2235,0
